date,channel_id,video_id,video_thumbnail_impressions,video_thumbnail_impressions_ctr
20260608,UCN1-TUxX_2UumGm3OKpmncg,2XLSdO_vOTM,1,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,2tO6djVL0q8,9,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,3r5IrG-d9VI,1,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,6vUld2_t8r0,4,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,AD1QPvfZZqU,9,0.1111111111111111
20260608,UCN1-TUxX_2UumGm3OKpmncg,Bx_X-Bqk13w,4,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,CbZpTi2Jbmc,4,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,CvdXyK2J6x4,6,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,FIUKH_owfAc,2,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,FrsG4CDAMpo,1,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,GcyZcniwXRY,2,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,HHE96257weQ,3,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,Hyw7XbAbKhk,1,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,IfC-Iy5bilo,10,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,NNd2SVAv-wE,1,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,SMYdQA_vH-g,7,0.14285714285714285
20260608,UCN1-TUxX_2UumGm3OKpmncg,THJvirjCvOY,365,0.0136986301369863
20260608,UCN1-TUxX_2UumGm3OKpmncg,TemJZxs-Dm4,23,0.13043478260869565
20260608,UCN1-TUxX_2UumGm3OKpmncg,TyxdaK8mu_E,3,0.33333333333333331
20260608,UCN1-TUxX_2UumGm3OKpmncg,VFzHiWmeHJE,1,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,VTh3k5mv2Ck,3,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,VUDgx3fVtd4,4,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,WDgj86k31Og,35,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,WY0d7Ck7VjE,14,0.071428571428571425
20260608,UCN1-TUxX_2UumGm3OKpmncg,Wzaz04Tmicg,1,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,Xmr8tkRIHYY,3,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,YJVnEw20Nkg,2,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,ZJnFCiMejGk,2,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,ZPmQNASo0M0,58,0.017241379310344827
20260608,UCN1-TUxX_2UumGm3OKpmncg,_AP0GLhbPmc,5,0.2
20260608,UCN1-TUxX_2UumGm3OKpmncg,d2Mf5Vgy2jM,69,0.043478260869565216
20260608,UCN1-TUxX_2UumGm3OKpmncg,dnq70SeCiBY,118,0.025423728813559324
20260608,UCN1-TUxX_2UumGm3OKpmncg,fzJ_WFOxfnQ,9,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,gfUEO7hiEd4,3,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,ghHOBmFQvs8,4,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,hFiGmI6nugw,1,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,3,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,mah_V3uucKQ,9,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,pje6shzYYZU,1,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,pjgU_IK0fJU,3,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,qEj-VgyiMvo,1,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,qoodETrDhSg,70,0.042857142857142858
20260608,UCN1-TUxX_2UumGm3OKpmncg,r2ofEMp6WmQ,4,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,rJiO7I-llw4,9,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,rRgXtflhT_s,2,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,skKaiqiC7WY,3,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,1,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,uLz9acGGcO4,2,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,ug725vDo3k0,2,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,w2CFUIda7qM,1318,0.037177541729893779
20260608,UCN1-TUxX_2UumGm3OKpmncg,x5O8-0h9aH4,2,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,xZQmj0i14oc,2,0
20260608,UCN1-TUxX_2UumGm3OKpmncg,ybQBCcJMrgo,64,0.046875
20260608,UCN1-TUxX_2UumGm3OKpmncg,zC4YuumOmoE,4,0
