date,channel_id,video_id,video_thumbnail_impressions,video_thumbnail_impressions_ctr
20260606,UCN1-TUxX_2UumGm3OKpmncg,2XLSdO_vOTM,399,0.0050125313283208017
20260606,UCN1-TUxX_2UumGm3OKpmncg,2tO6djVL0q8,7,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,3r5IrG-d9VI,1,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,6vUld2_t8r0,1,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,AD1QPvfZZqU,2,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,FIUKH_owfAc,3,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,GcyZcniwXRY,2,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,HHE96257weQ,1,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,IfC-Iy5bilo,51,0.058823529411764705
20260606,UCN1-TUxX_2UumGm3OKpmncg,NNd2SVAv-wE,1,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,SMYdQA_vH-g,3,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,THJvirjCvOY,15,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,TyxdaK8mu_E,2,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,VTh3k5mv2Ck,2,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,WDgj86k31Og,27,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,WY0d7Ck7VjE,3,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,Wzaz04Tmicg,1,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,Xmr8tkRIHYY,2,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,YJVnEw20Nkg,1,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,ZJnFCiMejGk,3,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,ZPmQNASo0M0,47,0.021276595744680851
20260606,UCN1-TUxX_2UumGm3OKpmncg,_AP0GLhbPmc,1,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,d2Mf5Vgy2jM,77,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,dnq70SeCiBY,1088,0.026654411764705881
20260606,UCN1-TUxX_2UumGm3OKpmncg,fzJ_WFOxfnQ,2,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,gfUEO7hiEd4,1,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,ghHOBmFQvs8,2,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,hFiGmI6nugw,1,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,kZN4msDx9Tg,2,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,1,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,mah_V3uucKQ,7,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,pje6shzYYZU,2,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,pjgU_IK0fJU,6,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,qEj-VgyiMvo,1,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,qoodETrDhSg,72,0.013888888888888888
20260606,UCN1-TUxX_2UumGm3OKpmncg,r2ofEMp6WmQ,1,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,rJiO7I-llw4,4,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,rRgXtflhT_s,3,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,skKaiqiC7WY,2,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,2,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,uLz9acGGcO4,1,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,w2CFUIda7qM,168,0.041666666666666664
20260606,UCN1-TUxX_2UumGm3OKpmncg,x5O8-0h9aH4,41,0.024390243902439025
20260606,UCN1-TUxX_2UumGm3OKpmncg,xZQmj0i14oc,1,0
20260606,UCN1-TUxX_2UumGm3OKpmncg,ybQBCcJMrgo,172,0.029069767441860465
