date,channel_id,video_id,video_thumbnail_impressions,video_thumbnail_impressions_ctr
20260601,UCN1-TUxX_2UumGm3OKpmncg,2XLSdO_vOTM,69,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,2tO6djVL0q8,38,0.026315789473684209
20260601,UCN1-TUxX_2UumGm3OKpmncg,3r5IrG-d9VI,6,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,6vUld2_t8r0,7,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,AD1QPvfZZqU,6,0.16666666666666666
20260601,UCN1-TUxX_2UumGm3OKpmncg,CvdXyK2J6x4,28,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,FIUKH_owfAc,5,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,GcyZcniwXRY,7,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,HHE96257weQ,21,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,IfC-Iy5bilo,4,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,NNd2SVAv-wE,4,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,SMYdQA_vH-g,22,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,VFzHiWmeHJE,20,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,VTh3k5mv2Ck,14,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,WDgj86k31Og,11,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,Wzaz04Tmicg,4,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,Xmr8tkRIHYY,35,0.028571428571428571
20260601,UCN1-TUxX_2UumGm3OKpmncg,YJVnEw20Nkg,10,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,ZJnFCiMejGk,11,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,d2Mf5Vgy2jM,28,0.071428571428571425
20260601,UCN1-TUxX_2UumGm3OKpmncg,fzJ_WFOxfnQ,11,0.090909090909090912
20260601,UCN1-TUxX_2UumGm3OKpmncg,ghHOBmFQvs8,42,0.047619047619047616
20260601,UCN1-TUxX_2UumGm3OKpmncg,hFiGmI6nugw,13,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,kZN4msDx9Tg,2,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,57,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,mah_V3uucKQ,58,0.034482758620689655
20260601,UCN1-TUxX_2UumGm3OKpmncg,pje6shzYYZU,2,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,pjgU_IK0fJU,1,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,qEj-VgyiMvo,5,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,qoodETrDhSg,121,0.049586776859504134
20260601,UCN1-TUxX_2UumGm3OKpmncg,rJiO7I-llw4,46,0.021739130434782608
20260601,UCN1-TUxX_2UumGm3OKpmncg,rRgXtflhT_s,14,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,skKaiqiC7WY,12,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,3,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,uLz9acGGcO4,11,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,ug725vDo3k0,1,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,x5O8-0h9aH4,41,0.024390243902439025
20260601,UCN1-TUxX_2UumGm3OKpmncg,xZQmj0i14oc,42,0
20260601,UCN1-TUxX_2UumGm3OKpmncg,ybQBCcJMrgo,1,0
