date,channel_id,video_id,video_thumbnail_impressions,video_thumbnail_impressions_ctr
20260611,UCN1-TUxX_2UumGm3OKpmncg,-qhJIwZz_tM,97,0.030927835051546393
20260611,UCN1-TUxX_2UumGm3OKpmncg,2XLSdO_vOTM,3,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,2tO6djVL0q8,24,0.083333333333333329
20260611,UCN1-TUxX_2UumGm3OKpmncg,794k4AT6MvA,1,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,7_gERg0afq4,35,0.057142857142857141
20260611,UCN1-TUxX_2UumGm3OKpmncg,AD1QPvfZZqU,52,0.076923076923076927
20260611,UCN1-TUxX_2UumGm3OKpmncg,Bx_X-Bqk13w,2,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,CbZpTi2Jbmc,9,0.1111111111111111
20260611,UCN1-TUxX_2UumGm3OKpmncg,CvdXyK2J6x4,5,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,HHE96257weQ,2,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,Hyw7XbAbKhk,3,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,IfC-Iy5bilo,6,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,PttffbkmX7A,3,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,SMYdQA_vH-g,4,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,THJvirjCvOY,208,0.019230769230769232
20260611,UCN1-TUxX_2UumGm3OKpmncg,TemJZxs-Dm4,129,0.03875968992248062
20260611,UCN1-TUxX_2UumGm3OKpmncg,TyxdaK8mu_E,1,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,VFzHiWmeHJE,18,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,VTh3k5mv2Ck,1,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,VUDgx3fVtd4,3,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,WDgj86k31Og,13,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,WY0d7Ck7VjE,9,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,Wzaz04Tmicg,2,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,Xmr8tkRIHYY,7,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,Y4lXH4vJOqQ,791,0.040455120101137804
20260611,UCN1-TUxX_2UumGm3OKpmncg,YJVnEw20Nkg,1,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,ZPmQNASo0M0,4,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,_AP0GLhbPmc,8,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,d2Mf5Vgy2jM,25,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,dnq70SeCiBY,110,0.090909090909090912
20260611,UCN1-TUxX_2UumGm3OKpmncg,fzJ_WFOxfnQ,3,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,gfUEO7hiEd4,10,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,ghHOBmFQvs8,17,0.058823529411764705
20260611,UCN1-TUxX_2UumGm3OKpmncg,hFiGmI6nugw,1,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,iPqMWo0J3AI,4,0.25
20260611,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,1,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,mah_V3uucKQ,2,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,pje6shzYYZU,8,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,pjgU_IK0fJU,11,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,qoodETrDhSg,8,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,r2ofEMp6WmQ,5,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,r6VYrHvgo1A,3,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,rJiO7I-llw4,8,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,rRgXtflhT_s,1,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,skKaiqiC7WY,1,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,uLz9acGGcO4,2,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,ug725vDo3k0,2,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,w2CFUIda7qM,101,0.049504950495049507
20260611,UCN1-TUxX_2UumGm3OKpmncg,x5O8-0h9aH4,8,0.125
20260611,UCN1-TUxX_2UumGm3OKpmncg,xZQmj0i14oc,7,0
20260611,UCN1-TUxX_2UumGm3OKpmncg,ybQBCcJMrgo,129,0.031007751937984496
20260611,UCN1-TUxX_2UumGm3OKpmncg,zC4YuumOmoE,2,0
