date,channel_id,video_id,video_thumbnail_impressions,video_thumbnail_impressions_ctr
20260620,UCN1-TUxX_2UumGm3OKpmncg,-qhJIwZz_tM,20,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,2XLSdO_vOTM,1,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,2tO6djVL0q8,13,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,6Ncztplwf-c,179,0.0335195530726257
20260620,UCN1-TUxX_2UumGm3OKpmncg,7Bn_0CsjwNY,9,0.1111111111111111
20260620,UCN1-TUxX_2UumGm3OKpmncg,7_gERg0afq4,34,0.029411764705882353
20260620,UCN1-TUxX_2UumGm3OKpmncg,AD1QPvfZZqU,52,0.019230769230769232
20260620,UCN1-TUxX_2UumGm3OKpmncg,Bx_X-Bqk13w,4,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,CvdXyK2J6x4,8,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,FrsG4CDAMpo,2,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,SMYdQA_vH-g,5,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,THJvirjCvOY,9,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,TemJZxs-Dm4,3,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,TyxdaK8mu_E,3,0.33333333333333331
20260620,UCN1-TUxX_2UumGm3OKpmncg,UUlPhZ2-Lv0,88,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,VFzHiWmeHJE,43,0.046511627906976744
20260620,UCN1-TUxX_2UumGm3OKpmncg,VUDgx3fVtd4,28,0.035714285714285712
20260620,UCN1-TUxX_2UumGm3OKpmncg,WDgj86k31Og,2,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,Wzaz04Tmicg,2,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,XDDPJXuPsYs,468,0.032051282051282048
20260620,UCN1-TUxX_2UumGm3OKpmncg,Y4lXH4vJOqQ,8,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,ZPmQNASo0M0,8,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,aqX-Kq6QAXI,66,0.090909090909090912
20260620,UCN1-TUxX_2UumGm3OKpmncg,bp7x3ohwOEE,15,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,d2Mf5Vgy2jM,9,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,dnq70SeCiBY,33,0.030303030303030304
20260620,UCN1-TUxX_2UumGm3OKpmncg,gfUEO7hiEd4,3,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,ghHOBmFQvs8,9,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,kZN4msDx9Tg,1,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,3,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,pje6shzYYZU,2,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,pjgU_IK0fJU,4,0.25
20260620,UCN1-TUxX_2UumGm3OKpmncg,qoodETrDhSg,10,0.1
20260620,UCN1-TUxX_2UumGm3OKpmncg,r6VYrHvgo1A,10,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,rJiO7I-llw4,3,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,sK6KH3dFgLY,66,0.015151515151515152
20260620,UCN1-TUxX_2UumGm3OKpmncg,skKaiqiC7WY,3,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,1,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,ug725vDo3k0,1,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,w2CFUIda7qM,9,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,x5O8-0h9aH4,2,0
20260620,UCN1-TUxX_2UumGm3OKpmncg,ybQBCcJMrgo,35,0.028571428571428571
20260620,UCN1-TUxX_2UumGm3OKpmncg,zC4YuumOmoE,4,0.25
