date,channel_id,video_id,video_thumbnail_impressions,video_thumbnail_impressions_ctr
20260528,UCN1-TUxX_2UumGm3OKpmncg,2tO6djVL0q8,384,0.0234375
20260528,UCN1-TUxX_2UumGm3OKpmncg,3r5IrG-d9VI,24,0
20260528,UCN1-TUxX_2UumGm3OKpmncg,6vUld2_t8r0,89,0.02247191011235955
20260528,UCN1-TUxX_2UumGm3OKpmncg,AD1QPvfZZqU,42,0
20260528,UCN1-TUxX_2UumGm3OKpmncg,CvdXyK2J6x4,1584,0.025252525252525252
20260528,UCN1-TUxX_2UumGm3OKpmncg,FIUKH_owfAc,3,0
20260528,UCN1-TUxX_2UumGm3OKpmncg,FrsG4CDAMpo,4,0
20260528,UCN1-TUxX_2UumGm3OKpmncg,GcyZcniwXRY,24,0
20260528,UCN1-TUxX_2UumGm3OKpmncg,NNd2SVAv-wE,10,0
20260528,UCN1-TUxX_2UumGm3OKpmncg,SMYdQA_vH-g,57,0.017543859649122806
20260528,UCN1-TUxX_2UumGm3OKpmncg,TyxdaK8mu_E,3,0
20260528,UCN1-TUxX_2UumGm3OKpmncg,VFzHiWmeHJE,1988,0.011066398390342052
20260528,UCN1-TUxX_2UumGm3OKpmncg,Wzaz04Tmicg,7,0.14285714285714285
20260528,UCN1-TUxX_2UumGm3OKpmncg,Xmr8tkRIHYY,2603,0.042643104110641566
20260528,UCN1-TUxX_2UumGm3OKpmncg,YJVnEw20Nkg,54,0
20260528,UCN1-TUxX_2UumGm3OKpmncg,ZJnFCiMejGk,23,0
20260528,UCN1-TUxX_2UumGm3OKpmncg,ghHOBmFQvs8,172,0.040697674418604654
20260528,UCN1-TUxX_2UumGm3OKpmncg,hFiGmI6nugw,25,0
20260528,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,134,0.022388059701492536
20260528,UCN1-TUxX_2UumGm3OKpmncg,pje6shzYYZU,4,0.25
20260528,UCN1-TUxX_2UumGm3OKpmncg,pjgU_IK0fJU,6,0
20260528,UCN1-TUxX_2UumGm3OKpmncg,qEj-VgyiMvo,38,0
20260528,UCN1-TUxX_2UumGm3OKpmncg,rJiO7I-llw4,593,0.015177065767284991
20260528,UCN1-TUxX_2UumGm3OKpmncg,skKaiqiC7WY,30,0.1
20260528,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,24,0.041666666666666664
20260528,UCN1-TUxX_2UumGm3OKpmncg,ug725vDo3k0,4,0
20260528,UCN1-TUxX_2UumGm3OKpmncg,xZQmj0i14oc,560,0.0089285714285714281
