date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,playback_location_type,traffic_source_type,device_type,operating_system,views,engaged_views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20260607,UCN1-TUxX_2UumGm3OKpmncg,IfC-Iy5bilo,on_demand,not_subscribed,LT,10,24,104,4,1,0,0.04,0,0,0,0
20260607,UCN1-TUxX_2UumGm3OKpmncg,VFzHiWmeHJE,on_demand,subscribed,JP,0,18,104,5,1,1,1.0203333333333333,61.22,6.5405982905982905,1,1.0203333333333333
20260607,UCN1-TUxX_2UumGm3OKpmncg,dnq70SeCiBY,on_demand,not_subscribed,US,7,3,104,5,2,2,0.67316666666666669,20.195,2.1438428874734607,0,0
20260607,UCN1-TUxX_2UumGm3OKpmncg,WY0d7Ck7VjE,on_demand,not_subscribed,DE,10,24,104,5,1,0,0.0435,0,0,0,0
20260607,UCN1-TUxX_2UumGm3OKpmncg,dnq70SeCiBY,on_demand,not_subscribed,DO,0,7,104,4,1,1,0.065,3.9,0.4140127388535032,0,0
20260607,UCN1-TUxX_2UumGm3OKpmncg,w2CFUIda7qM,on_demand,not_subscribed,CA,7,3,104,4,1,1,0.19666666666666666,11.8,1.1671612265084075,0,0
20260607,UCN1-TUxX_2UumGm3OKpmncg,d2Mf5Vgy2jM,on_demand,subscribed,JP,0,18,104,5,1,1,0.284,17.04,1.5106382978723405,1,0.284
20260607,UCN1-TUxX_2UumGm3OKpmncg,WY0d7Ck7VjE,on_demand,not_subscribed,UA,10,24,104,4,1,0,0.011666666666666667,0,0,0,0
20260607,UCN1-TUxX_2UumGm3OKpmncg,dnq70SeCiBY,on_demand,not_subscribed,PH,0,3,104,5,1,1,3.1185,187.11,19.863057324840764,0,0
20260607,UCN1-TUxX_2UumGm3OKpmncg,qoodETrDhSg,on_demand,not_subscribed,NL,0,0,104,5,1,1,0.14143333333333333,8.486,0.74569420035149381,0,0
