date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,playback_location_type,traffic_source_type,device_type,operating_system,views,engaged_views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20260525,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,on_demand,unknown,DZ,10,24,104,4,2,0,0.036666666666666667,0,0,0,0
20260525,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,on_demand,unknown,NL,10,24,104,4,1,0,0.056666666666666664,0,0,0,0
20260525,UCN1-TUxX_2UumGm3OKpmncg,ghHOBmFQvs8,on_demand,unknown,MK,0,7,102,19,1,1,0.8611,51.666,4.6295698924731186,0,0
20260525,UCN1-TUxX_2UumGm3OKpmncg,NNd2SVAv-wE,on_demand,unknown,PH,10,24,104,5,1,0,0.023666666666666666,0,0,0,0
20260525,UCN1-TUxX_2UumGm3OKpmncg,ghHOBmFQvs8,on_demand,unknown,AL,0,7,104,5,1,1,0.5581666666666667,33.49,3.00089605734767,0,0
20260525,UCN1-TUxX_2UumGm3OKpmncg,CvdXyK2J6x4,on_demand,unknown,JP,0,0,101,9,2,2,1.2560166666666666,37.6805,3.3082089552238805,2,1.2560166666666666
20260525,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,on_demand,unknown,ES,10,24,104,4,4,2,0.6216666666666667,17.75,80.681818181818187,1,0.013333333333333334
20260525,UCN1-TUxX_2UumGm3OKpmncg,SMYdQA_vH-g,on_demand,unknown,MM,0,7,102,4,1,1,13.684266666666666,821.056,75.3262385321101,0,0
20260525,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,on_demand,unknown,NL,10,24,105,5,2,1,0.39483333333333331,23.69,107.68181818181819,0,0
20260525,UCN1-TUxX_2UumGm3OKpmncg,NNd2SVAv-wE,on_demand,unknown,IT,10,24,104,4,3,0,0.041666666666666664,0,0,0,0
20260525,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,on_demand,unknown,IE,10,24,104,4,2,0,0.056666666666666664,0,0,0,0
20260525,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,on_demand,unknown,MO,10,24,104,4,1,0,0.021666666666666667,0,0,0,0
20260525,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,on_demand,unknown,IL,10,24,104,4,1,0,0.0083333333333333332,0,0,0,0
20260525,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,on_demand,unknown,GB,10,24,101,2,1,1,0.20045,12.027,54.668181818181822,0,0
20260525,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,on_demand,unknown,DE,10,24,104,4,12,2,1.0233333333333334,23.4,106.36363636363636,5,0.47166666666666668
20260525,UCN1-TUxX_2UumGm3OKpmncg,ZJnFCiMejGk,on_demand,unknown,TH,10,5,105,5,1,0,0.038666666666666669,0,0,0,0
20260525,UCN1-TUxX_2UumGm3OKpmncg,SMYdQA_vH-g,on_demand,unknown,CA,0,32,104,4,1,1,0.09166666666666666,5.5,0.50458715596330272,0,0
20260525,UCN1-TUxX_2UumGm3OKpmncg,NNd2SVAv-wE,on_demand,unknown,IT,10,24,104,5,1,0,0.0165,0,0,0,0
