date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,playback_location_type,traffic_source_type,device_type,operating_system,views,engaged_views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20260530,UCN1-TUxX_2UumGm3OKpmncg,skKaiqiC7WY,on_demand,not_subscribed,PH,10,5,104,4,1,0,0,0,0,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,GB,7,3,101,2,1,1,0.33736666666666665,20.242,2.2026115342763872,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,rRgXtflhT_s,on_demand,not_subscribed,JP,10,24,104,4,2,1,0.22666666666666666,11.4,33.529411764705884,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,HHE96257weQ,on_demand,not_subscribed,JP,10,4,104,5,1,1,0.17283333333333334,10.37,43.208333333333336,1,0.17283333333333334
20260530,UCN1-TUxX_2UumGm3OKpmncg,VTh3k5mv2Ck,on_demand,not_subscribed,DK,10,24,104,4,1,0,0.01,0,0,1,0.01
20260530,UCN1-TUxX_2UumGm3OKpmncg,rJiO7I-llw4,on_demand,not_subscribed,ID,0,3,104,4,1,1,9.92,595.2,64.555314533622564,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,SI,0,3,104,4,1,1,1.4016666666666666,84.1,9.1512513601741023,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,BB,7,3,104,4,1,1,0.775,46.5,5.0598476605005445,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,2XLSdO_vOTM,on_demand,not_subscribed,CA,0,4,104,4,1,1,14.715,882.9,83.607954545454547,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,AU,7,3,104,4,3,3,16.62,332.40000000000003,36.169749727965183,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,SG,0,3,104,4,2,2,8.97555,269.2665,29.299945593035908,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,rJiO7I-llw4,on_demand,not_subscribed,US,7,3,104,4,1,1,0.49666666666666665,29.8,3.2321041214750541,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,skKaiqiC7WY,on_demand,not_subscribed,DE,10,5,104,4,1,0,0,0,0,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,rJiO7I-llw4,on_demand,not_subscribed,PH,0,3,104,4,1,1,1.3616666666666666,81.7,8.86117136659436,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,VTh3k5mv2Ck,on_demand,not_subscribed,JP,10,4,104,5,6,4,1.0753333333333333,16.13,89.611111111111114,6,1.0753333333333333
20260530,UCN1-TUxX_2UumGm3OKpmncg,rJiO7I-llw4,on_demand,not_subscribed,PH,7,3,104,4,1,1,0.53,31.8,3.4490238611713666,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,rJiO7I-llw4,on_demand,subscribed,JP,7,3,104,5,1,1,2.8336666666666668,170.02,18.440347071583513,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,rJiO7I-llw4,on_demand,not_subscribed,US,0,7,103,17,1,1,0.20471666666666666,12.283,1.3322125813449024,1,0.20471666666666666
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,US,7,3,101,2,1,1,1.60775,96.465,10.496735582154516,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,rJiO7I-llw4,on_demand,not_subscribed,JP,0,7,104,5,1,1,0.87985,52.791,5.7257049891540133,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,Xmr8tkRIHYY,on_demand,not_subscribed,SK,0,7,101,2,1,1,4.84235,290.541,35.958044554455448,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,HN,0,3,104,4,1,1,3.045,182.7,19.880304678998911,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,6vUld2_t8r0,on_demand,not_subscribed,AU,10,5,104,4,1,1,0.185,11.1,35.806451612903224,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,VTh3k5mv2Ck,on_demand,not_subscribed,JP,10,24,104,4,3,0,0.05,0,0,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,KH,7,3,104,4,1,1,0.18833333333333332,11.3,1.2295973884657236,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,2XLSdO_vOTM,on_demand,not_subscribed,JP,0,4,104,5,1,1,0.40616666666666668,24.37,2.3077651515151514,1,0.40616666666666668
20260530,UCN1-TUxX_2UumGm3OKpmncg,rRgXtflhT_s,on_demand,not_subscribed,US,10,5,104,4,1,1,0.215,12.9,37.941176470588232,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,VTh3k5mv2Ck,on_demand,not_subscribed,KR,10,24,104,4,1,0,0.028333333333333332,0,0,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,VTh3k5mv2Ck,on_demand,not_subscribed,JP,10,24,105,5,1,0,0.0068333333333333336,0,0,0,0
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,JP,7,3,104,5,1,1,0.28133333333333332,16.88,1.8367791077257889,0,0
