date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,playback_location_type,traffic_source_type,device_type,operating_system,views,engaged_views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20260624,UCN1-TUxX_2UumGm3OKpmncg,7_gERg0afq4,on_demand,not_subscribed,MY,0,7,101,2,1,1,4.4294166666666666,265.765,24.337454212454212,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,pa0_4JTb0Nk,on_demand,not_subscribed,MY,0,7,101,2,1,1,17.066083333333335,1023.965,99.99658203125,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,HpcaQ2Cz_ec,on_demand,not_subscribed,RO,0,0,104,4,1,0,0.018333333333333333,0,0,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,bMS2kP4LwDA,on_demand,not_subscribed,MY,0,7,101,2,1,1,18.69595,1121.757,99.97834224598931,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,iPqMWo0J3AI,on_demand,subscribed,IQ,10,24,104,5,1,0,0.039333333333333331,0,0,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,6Ncztplwf-c,on_demand,not_subscribed,JP,7,3,104,4,1,1,0.45333333333333331,27.2,2.5161887141535617,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,6Ncztplwf-c,on_demand,not_subscribed,US,0,7,104,5,2,2,0.1405,4.215,0.38991674375578167,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,iPqMWo0J3AI,on_demand,not_subscribed,GB,10,24,104,5,2,1,0.11316666666666667,4.55,21.666666666666668,1,0.075833333333333336
20260624,UCN1-TUxX_2UumGm3OKpmncg,aqX-Kq6QAXI,on_demand,not_subscribed,NP,0,5,104,4,1,1,0.22833333333333333,13.7,1.4558979808714134,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,TemJZxs-Dm4,on_demand,not_subscribed,PH,7,3,104,4,1,1,0.9966666666666667,59.8,5.9032576505429422,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,aqX-Kq6QAXI,on_demand,not_subscribed,DE,0,5,104,4,1,1,0.27666666666666667,16.6,1.7640807651434645,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,VUDgx3fVtd4,on_demand,not_subscribed,GB,10,5,104,5,4,2,0.99316666666666664,29.795,156.81578947368422,4,0.99316666666666664
20260624,UCN1-TUxX_2UumGm3OKpmncg,HpcaQ2Cz_ec,on_demand,not_subscribed,KR,10,24,104,4,1,0,0.041666666666666664,0,0,1,0.041666666666666664
20260624,UCN1-TUxX_2UumGm3OKpmncg,aqX-Kq6QAXI,on_demand,not_subscribed,AE,0,5,104,4,1,1,0.21,12.6,1.3390010626992561,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,iPqMWo0J3AI,on_demand,not_subscribed,US,10,24,104,4,3,1,0.10666666666666667,4.3,20.476190476190474,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,dnq70SeCiBY,on_demand,not_subscribed,US,0,3,101,30,1,1,15.564133333333332,933.848,99.134607218683655,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,iPqMWo0J3AI,on_demand,not_subscribed,RO,10,24,104,4,1,0,0.011666666666666667,0,0,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,HpcaQ2Cz_ec,on_demand,not_subscribed,JP,10,24,105,5,1,0,0.0275,0,0,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,sK6KH3dFgLY,on_demand,not_subscribed,US,0,7,104,4,1,1,0.025,1.5,0.15447991761071062,1,0.025
20260624,UCN1-TUxX_2UumGm3OKpmncg,iPqMWo0J3AI,on_demand,not_subscribed,KR,10,24,101,9,1,0,0.018733333333333334,0,0,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,VUDgx3fVtd4,on_demand,not_subscribed,US,10,5,104,4,1,0,0.025,0,0,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,CvdXyK2J6x4,on_demand,not_subscribed,UG,0,3,104,4,1,1,18.98,1138.8,99.982440737489028,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,iPqMWo0J3AI,on_demand,not_subscribed,IT,10,5,104,4,1,0,0,0,0,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,794k4AT6MvA,on_demand,not_subscribed,ZA,10,24,104,4,1,0,0.042716666666666667,0,0,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,794k4AT6MvA,on_demand,not_subscribed,JP,10,24,101,2,1,0,0.016483333333333332,0,0,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,aqX-Kq6QAXI,on_demand,not_subscribed,ID,0,5,101,2,1,1,0.26196666666666668,15.718,1.6703506907545165,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,iPqMWo0J3AI,on_demand,not_subscribed,PH,10,24,104,4,7,1,0.77333333333333332,37.3,177.61904761904762,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,aqX-Kq6QAXI,on_demand,not_subscribed,US,0,0,102,1,1,1,1.0576833333333333,63.461,6.7439957492029752,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,7WhCcJ3ERaY,on_demand,not_subscribed,US,0,7,101,30,1,1,17.222183333333334,1033.331,98.978065134099623,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,-qhJIwZz_tM,on_demand,not_subscribed,JP,0,7,102,4,1,1,0.26458333333333334,15.875,1.6232106339468302,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,bMS2kP4LwDA,on_demand,not_subscribed,AU,7,3,103,10,1,1,0.34193333333333331,20.516,1.8285204991087345,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,iPqMWo0J3AI,on_demand,not_subscribed,US,10,24,104,5,3,1,0.74433333333333329,44.66,212.66666666666666,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,6Ncztplwf-c,on_demand,not_subscribed,AU,0,7,104,4,1,1,0.74833333333333329,44.9,4.1535615171137836,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,iPqMWo0J3AI,on_demand,not_subscribed,NZ,10,24,102,19,1,0,0.044866666666666666,0,0,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,794k4AT6MvA,on_demand,not_subscribed,RO,10,24,104,4,2,1,0.37166666666666665,22.3,117.36842105263158,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,sK6KH3dFgLY,on_demand,not_subscribed,RO,0,7,102,19,1,1,0.80606666666666671,48.364,4.9808444902162723,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,aqX-Kq6QAXI,on_demand,not_subscribed,MY,0,5,101,2,2,2,20.766916666666667,623.0075,66.206960680127523,0,0
20260624,UCN1-TUxX_2UumGm3OKpmncg,aqX-Kq6QAXI,on_demand,not_subscribed,IN,0,5,104,5,1,1,0.70066666666666666,42.04,4.4675876726886292,0,0
