date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,playback_location_type,traffic_source_type,device_type,operating_system,views,engaged_views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20260618,UCN1-TUxX_2UumGm3OKpmncg,7Bn_0CsjwNY,on_demand,not_subscribed,UA,10,24,104,4,3,1,0.11,4.1,19.523809523809526,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,7_gERg0afq4,on_demand,not_subscribed,MA,0,7,104,4,1,1,0.325,19.5,1.7857142857142858,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,QsgsOkQg-48,on_demand,not_subscribed,JP,10,24,105,5,1,0,0.027666666666666666,0,0,1,0.027666666666666666
20260618,UCN1-TUxX_2UumGm3OKpmncg,QsgsOkQg-48,on_demand,not_subscribed,JP,10,24,104,5,7,0,0.14321666666666666,0,0,2,0.0405
20260618,UCN1-TUxX_2UumGm3OKpmncg,aqX-Kq6QAXI,on_demand,not_subscribed,PH,0,5,101,9,1,1,0.2201,13.206,1.4034006376195536,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,7Bn_0CsjwNY,on_demand,not_subscribed,MK,10,24,104,4,1,0,0.06,0,0,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,d2Mf5Vgy2jM,on_demand,not_subscribed,US,0,7,105,4,1,1,0.054483333333333335,3.269,0.28980496453900711,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,7Bn_0CsjwNY,on_demand,not_subscribed,PL,10,24,104,4,1,0,0.0083333333333333332,0,0,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,ybQBCcJMrgo,on_demand,not_subscribed,SA,0,3,104,4,1,1,3.6983333333333333,221.9,24.68298109010011,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,7Bn_0CsjwNY,on_demand,not_subscribed,UZ,10,24,104,4,1,1,0.076666666666666661,4.6,21.904761904761905,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,7Bn_0CsjwNY,on_demand,not_subscribed,AM,10,24,104,4,1,0,0.055,0,0,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,-qhJIwZz_tM,on_demand,not_subscribed,PH,0,7,104,4,1,1,0.3,18,1.8404907975460123,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,sK6KH3dFgLY,on_demand,not_subscribed,GB,0,7,101,2,1,1,17.473366666666667,1048.402,107.97136972193614,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,7_gERg0afq4,on_demand,not_subscribed,FR,0,7,102,4,1,1,1.89065,113.439,10.388186813186813,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,VUDgx3fVtd4,on_demand,not_subscribed,PH,10,24,104,4,1,1,0.18166666666666667,10.9,57.368421052631582,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,TemJZxs-Dm4,on_demand,not_subscribed,AU,7,3,102,31,1,1,0.4217,25.302,2.4977295162882527,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,XDDPJXuPsYs,on_demand,not_subscribed,IN,0,7,104,4,1,1,0.69833333333333336,41.9,5.477124183006536,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,sK6KH3dFgLY,on_demand,subscribed,MY,0,4,101,2,1,1,0.51556666666666662,30.934,3.1857878475798147,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,VUDgx3fVtd4,on_demand,not_subscribed,KZ,10,24,104,4,1,0,0.02,0,0,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,7Bn_0CsjwNY,on_demand,not_subscribed,PL,10,24,104,5,1,0,0.019333333333333334,0,0,1,0.019333333333333334
20260618,UCN1-TUxX_2UumGm3OKpmncg,7Bn_0CsjwNY,on_demand,not_subscribed,HR,10,24,104,4,1,1,0.14166666666666666,8.5,40.476190476190474,1,0.14166666666666666
20260618,UCN1-TUxX_2UumGm3OKpmncg,aqX-Kq6QAXI,on_demand,not_subscribed,PH,0,7,104,4,1,1,0.145,8.7,0.924548352816153,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,7Bn_0CsjwNY,on_demand,not_subscribed,JP,10,24,104,4,2,0,0.068333333333333329,0,0,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,qoodETrDhSg,on_demand,not_subscribed,PH,0,7,102,19,1,1,1.7541833333333334,105.251,9.2487697715289983,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,UUlPhZ2-Lv0,on_demand,not_subscribed,US,0,3,102,26,1,1,0.39461666666666667,23.677,2.35592039800995,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,VUDgx3fVtd4,on_demand,not_subscribed,IE,10,24,104,4,1,0,0.045,0,0,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,7Bn_0CsjwNY,on_demand,not_subscribed,JP,10,24,105,5,1,0,0.053666666666666668,0,0,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,7Bn_0CsjwNY,on_demand,not_subscribed,BY,10,24,104,5,1,1,0.092,5.52,26.285714285714285,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,7Bn_0CsjwNY,on_demand,not_subscribed,AZ,10,24,104,4,1,0,0.048333333333333332,0,0,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,UUlPhZ2-Lv0,on_demand,subscribed,US,0,3,104,5,1,1,0.68013333333333337,40.808,4.0604975124378111,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,THJvirjCvOY,on_demand,not_subscribed,AU,0,7,101,2,1,1,0.68423333333333336,41.054,3.7907663896583563,1,0.68423333333333336
20260618,UCN1-TUxX_2UumGm3OKpmncg,VUDgx3fVtd4,on_demand,not_subscribed,TH,10,5,104,5,1,1,0.2645,15.87,83.526315789473685,1,0.2645
20260618,UCN1-TUxX_2UumGm3OKpmncg,UUlPhZ2-Lv0,on_demand,not_subscribed,JP,0,32,104,5,1,1,0.1015,6.09,0.60597014925373138,1,0.1015
20260618,UCN1-TUxX_2UumGm3OKpmncg,ybQBCcJMrgo,on_demand,not_subscribed,IN,0,7,104,4,4,4,31.9,478.5,53.225806451612904,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,VUDgx3fVtd4,on_demand,not_subscribed,UA,10,24,104,4,1,0,0.016666666666666666,0,0,1,0.016666666666666666
20260618,UCN1-TUxX_2UumGm3OKpmncg,-qhJIwZz_tM,on_demand,not_subscribed,IN,0,7,104,4,1,1,16.296666666666667,977.8,99.97955010224949,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,ghHOBmFQvs8,on_demand,not_subscribed,PH,0,5,101,2,1,1,0.18388333333333334,11.033,0.98862007168458776,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,qoodETrDhSg,on_demand,not_subscribed,IN,0,7,104,4,3,3,37.935,758.69999999999993,66.669595782073813,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,d2Mf5Vgy2jM,on_demand,not_subscribed,IN,0,7,104,4,5,5,48.635,583.62,51.73936170212766,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,aqX-Kq6QAXI,on_demand,not_subscribed,IN,0,7,104,4,1,1,7.1633333333333331,429.8,45.674814027630184,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,7Bn_0CsjwNY,on_demand,not_subscribed,GB,10,24,104,5,1,0,0.0135,0,0,1,0.0135
20260618,UCN1-TUxX_2UumGm3OKpmncg,TemJZxs-Dm4,on_demand,not_subscribed,IN,0,7,104,4,1,1,5.6616666666666671,339.7,33.53405725567621,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,VUDgx3fVtd4,on_demand,not_subscribed,JP,10,24,105,4,1,0,0.021666666666666667,0,0,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,VUDgx3fVtd4,on_demand,not_subscribed,JP,10,24,104,4,4,1,0.33665,16.299,85.784210526315789,0,0
20260618,UCN1-TUxX_2UumGm3OKpmncg,VUDgx3fVtd4,on_demand,not_subscribed,SE,10,24,104,4,1,0,0.01,0,0,0,0
