date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,age_group,gender,views_percentage
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,PT,AGE_45_54,MALE,2.0408163265306123
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,GB,AGE_55_64,MALE,4.0816326530612246
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,AR,AGE_25_34,MALE,2.0408163265306123
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,AU,AGE_55_64,MALE,2.0408163265306123
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,AU,AGE_35_44,MALE,2.0408163265306123
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,GB,AGE_45_54,MALE,4.0816326530612246
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,ID,AGE_55_64,MALE,4.0816326530612246
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,SI,AGE_45_54,MALE,2.0408163265306123
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,AU,AGE_45_54,MALE,4.0816326530612246
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,IN,AGE_35_44,MALE,2.0408163265306123
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,FI,AGE_35_44,MALE,2.0408163265306123
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,SG,AGE_45_54,MALE,2.0408163265306123
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,US,AGE_55_64,MALE,2.0408163265306123
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,US,AGE_65_,MALE,2.0408163265306123
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,SK,AGE_25_34,MALE,2.0408163265306123
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,ZA,AGE_35_44,MALE,4.0816326530612246
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,MX,AGE_55_64,MALE,2.0408163265306123
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,US,AGE_35_44,MALE,4.0816326530612246
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,JP,AGE_35_44,MALE,2.0408163265306123
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,RO,AGE_45_54,MALE,2.0408163265306123
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,HR,AGE_45_54,MALE,42.857142857142854
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,HN,AGE_45_54,MALE,2.0408163265306123
20260530,UCN1-TUxX_2UumGm3OKpmncg,lMFgM4Q8yx4,on_demand,not_subscribed,KH,AGE_45_54,MALE,2.0408163265306123
