date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,age_group,gender,views_percentage
20260525,UCN1-TUxX_2UumGm3OKpmncg,NNd2SVAv-wE,on_demand,unknown,CZ,AGE_18_24,MALE,0.65359477124183007
20260525,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,on_demand,unknown,KZ,AGE_35_44,MALE,0.41666666666666669
20260525,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,on_demand,unknown,UZ,AGE_25_34,MALE,0.41666666666666669
20260525,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,on_demand,unknown,DZ,AGE_35_44,MALE,0.41666666666666669
20260525,UCN1-TUxX_2UumGm3OKpmncg,NNd2SVAv-wE,on_demand,unknown,RS,AGE_45_54,MALE,0.65359477124183007
20260525,UCN1-TUxX_2UumGm3OKpmncg,NNd2SVAv-wE,on_demand,unknown,JP,AGE_45_54,MALE,2.6143790849673203
20260525,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,on_demand,unknown,GB,AGE_35_44,FEMALE,0.83333333333333337
20260525,UCN1-TUxX_2UumGm3OKpmncg,SMYdQA_vH-g,on_demand,unknown,IN,AGE_25_34,MALE,7.1428571428571423
20260525,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,on_demand,unknown,IT,AGE_65_,MALE,1.25
20260525,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,on_demand,unknown,FR,AGE_45_54,MALE,0.41666666666666669
20260525,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,on_demand,unknown,DE,AGE_18_24,MALE,0.83333333333333337
20260525,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,on_demand,unknown,ES,AGE_35_44,MALE,0.41666666666666669
20260525,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,on_demand,unknown,IT,AGE_25_34,FEMALE,0.41666666666666669
20260525,UCN1-TUxX_2UumGm3OKpmncg,uE_GtL5Tf1g,on_demand,unknown,TW,AGE_45_54,MALE,1.25
20260525,UCN1-TUxX_2UumGm3OKpmncg,NNd2SVAv-wE,on_demand,unknown,ID,AGE_18_24,FEMALE,0.65359477124183007
