date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,age_group,gender,views_percentage
20260611,UCN1-TUxX_2UumGm3OKpmncg,Y4lXH4vJOqQ,on_demand,not_subscribed,JP,AGE_25_34,MALE,5.88235294117647
20260611,UCN1-TUxX_2UumGm3OKpmncg,Y4lXH4vJOqQ,on_demand,not_subscribed,GB,AGE_55_64,MALE,5.88235294117647
20260611,UCN1-TUxX_2UumGm3OKpmncg,Y4lXH4vJOqQ,on_demand,not_subscribed,GB,AGE_65_,MALE,5.88235294117647
20260611,UCN1-TUxX_2UumGm3OKpmncg,Y4lXH4vJOqQ,on_demand,not_subscribed,US,AGE_18_24,FEMALE,5.88235294117647
20260611,UCN1-TUxX_2UumGm3OKpmncg,Y4lXH4vJOqQ,on_demand,not_subscribed,AU,AGE_55_64,MALE,5.88235294117647
20260611,UCN1-TUxX_2UumGm3OKpmncg,Y4lXH4vJOqQ,on_demand,not_subscribed,IN,AGE_65_,MALE,5.88235294117647
20260611,UCN1-TUxX_2UumGm3OKpmncg,Y4lXH4vJOqQ,on_demand,not_subscribed,IN,AGE_35_44,MALE,5.88235294117647
20260611,UCN1-TUxX_2UumGm3OKpmncg,Y4lXH4vJOqQ,on_demand,not_subscribed,US,AGE_55_64,MALE,5.88235294117647
20260611,UCN1-TUxX_2UumGm3OKpmncg,Y4lXH4vJOqQ,on_demand,not_subscribed,US,AGE_65_,MALE,11.76470588235294
20260611,UCN1-TUxX_2UumGm3OKpmncg,Y4lXH4vJOqQ,on_demand,not_subscribed,IN,AGE_45_54,MALE,5.88235294117647
20260611,UCN1-TUxX_2UumGm3OKpmncg,Y4lXH4vJOqQ,on_demand,not_subscribed,PH,AGE_35_44,MALE,5.88235294117647
20260611,UCN1-TUxX_2UumGm3OKpmncg,Y4lXH4vJOqQ,on_demand,not_subscribed,IN,AGE_25_34,MALE,5.88235294117647
20260611,UCN1-TUxX_2UumGm3OKpmncg,Y4lXH4vJOqQ,on_demand,not_subscribed,US,AGE_45_54,MALE,11.76470588235294
20260611,UCN1-TUxX_2UumGm3OKpmncg,Y4lXH4vJOqQ,on_demand,not_subscribed,KR,AGE_45_54,MALE,5.88235294117647
20260611,UCN1-TUxX_2UumGm3OKpmncg,Y4lXH4vJOqQ,on_demand,not_subscribed,US,AGE_25_34,MALE,5.88235294117647
