date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,age_group,gender,views_percentage
20260528,UCN1-TUxX_2UumGm3OKpmncg,Xmr8tkRIHYY,on_demand,not_subscribed,NL,AGE_45_54,MALE,1.0416666666666665
20260528,UCN1-TUxX_2UumGm3OKpmncg,VFzHiWmeHJE,on_demand,not_subscribed,NP,AGE_25_34,MALE,4.3478260869565215
20260528,UCN1-TUxX_2UumGm3OKpmncg,CvdXyK2J6x4,on_demand,not_subscribed,SI,AGE_45_54,MALE,2.9411764705882351
20260528,UCN1-TUxX_2UumGm3OKpmncg,VFzHiWmeHJE,on_demand,not_subscribed,US,AGE_65_,MALE,17.391304347826086
20260528,UCN1-TUxX_2UumGm3OKpmncg,VFzHiWmeHJE,on_demand,not_subscribed,PH,AGE_45_54,FEMALE,4.3478260869565215
20260528,UCN1-TUxX_2UumGm3OKpmncg,CvdXyK2J6x4,on_demand,not_subscribed,US,AGE_18_24,MALE,2.9411764705882351
20260528,UCN1-TUxX_2UumGm3OKpmncg,Xmr8tkRIHYY,on_demand,not_subscribed,ME,AGE_35_44,MALE,1.0416666666666665
20260528,UCN1-TUxX_2UumGm3OKpmncg,CvdXyK2J6x4,on_demand,not_subscribed,US,AGE_35_44,MALE,23.52941176470588
20260528,UCN1-TUxX_2UumGm3OKpmncg,Xmr8tkRIHYY,on_demand,not_subscribed,US,AGE_18_24,MALE,2.083333333333333
20260528,UCN1-TUxX_2UumGm3OKpmncg,Xmr8tkRIHYY,on_demand,not_subscribed,SE,AGE_55_64,MALE,1.0416666666666665
20260528,UCN1-TUxX_2UumGm3OKpmncg,Xmr8tkRIHYY,on_demand,not_subscribed,US,AGE_35_44,MALE,21.875
20260528,UCN1-TUxX_2UumGm3OKpmncg,Xmr8tkRIHYY,on_demand,not_subscribed,PH,AGE_35_44,MALE,1.0416666666666665
20260528,UCN1-TUxX_2UumGm3OKpmncg,CvdXyK2J6x4,on_demand,not_subscribed,IN,AGE_18_24,MALE,2.9411764705882351
20260528,UCN1-TUxX_2UumGm3OKpmncg,CvdXyK2J6x4,on_demand,not_subscribed,AU,AGE_35_44,MALE,2.9411764705882351
20260528,UCN1-TUxX_2UumGm3OKpmncg,Xmr8tkRIHYY,on_demand,not_subscribed,AU,AGE_18_24,MALE,1.0416666666666665
